Working_Unit,Age,ROC,ROC_up,ROC_dw,Peak
-69--39,-54,0.18801831842961525,0.27590789462681786,0.0937872623893907,FALSE
-63--33,-48,0.15781658787575764,0.2635427435331035,0.07837514345820092,FALSE
-57--27,-42,0.14818080706109504,0.26342275264261933,0.07420311512164407,FALSE
-51--21,-36,0.13225811354966605,0.2204327047728024,0.07610214695825866,FALSE
-45--15,-30,0.12028635162807927,0.18056891674919281,0.0741594112655878,FALSE
-39--9,-24,0.11582463143854449,0.17099945305925068,0.0758717064088894,FALSE
-33--3,-18,0.10883120862452964,0.16011568542309199,0.07192695402726285,FALSE
-27-3,-12,0.13545349894716383,0.211749391859064,0.07626445501273167,FALSE
-21-9,-6,0.15404196754194915,0.2143252174668279,0.10058152513948357,FALSE
-15-15,0,0.1543677957051424,0.21576381947788784,0.10046627785995946,FALSE
-9-21,6,0.16600362299972432,0.2407848531104627,0.10175855170458245,FALSE
-3-27,12,0.16512627848117595,0.24004127296703778,0.1014632976615663,FALSE
3-33,18,0.1566060649715421,0.23963821115466277,0.08880163020225564,FALSE
9-39,24,0.12542941145950326,0.18198734228805377,0.08368383341795842,FALSE
15-45,30,0.19444792837682326,0.3197175851352956,0.09225145272945445,FALSE
21-51,36,0.2418105246448915,0.36989365625313975,0.12142314496908978,FALSE
27-57,42,0.2720687041371469,0.40467604663434065,0.12442809188961013,FALSE
33-63,48,0.29257756380633393,0.40138786597874554,0.12185532398629818,TRUE
39-69,54,0.30257599941610513,0.3985334138045162,0.12531151181427327,TRUE
45-75,60,0.23580878876004607,0.38101273918050366,0.11743225574456315,FALSE
51-81,66,0.18400508590014514,0.29507592298055263,0.10376960125192879,FALSE
57-87,72,0.17293111322198362,0.2941093661603916,0.09509765522156396,FALSE
63-93,78,0.15719568383521776,0.27019564395471696,0.0902040127680256,FALSE
69-99,84,0.16547868322404805,0.2593799336000825,0.09501527598861155,FALSE
75-105,90,0.15910698131512235,0.23150039374030223,0.09531278902459721,FALSE
81-111,96,0.15557172664517854,0.2305522168630473,0.09009972025988236,FALSE
87-117,102,0.17804225383350297,0.2671727106476371,0.09900960924034369,FALSE
93-123,108,0.17648367889986544,0.2658676476869598,0.09634402205876899,FALSE
99-129,114,0.1788040886262679,0.269760897568992,0.09535612959709241,FALSE
105-135,120,0.17581651847668006,0.26584416676405603,0.09329387133797812,FALSE
111-141,126,0.16926447332555428,0.25204281015141833,0.0888850320568906,FALSE
117-147,132,0.1674540360671954,0.2614019872988445,0.08328500982331878,FALSE
123-153,138,0.17915557263705348,0.27806994763481274,0.08447610516378015,FALSE
129-159,144,0.1907508217985195,0.3141193162931648,0.08380837912843873,FALSE
135-165,150,0.21862797065984957,0.3425723084836964,0.10307125859504801,FALSE
141-171,156,0.24913511408483033,0.3655249609835498,0.10660400325899355,FALSE
147-177,162,0.244309822378164,0.332386742210059,0.1018165503951518,FALSE
153-183,168,0.26189355320443786,0.3591648487663276,0.10894960938255216,FALSE
159-189,174,0.27048407426417426,0.36670169559711385,0.1301882244116138,FALSE
165-195,180,0.26500365275892546,0.35712346477328016,0.11835128905719985,FALSE
171-201,186,0.2237584050596203,0.33118721246804983,0.09642449456995777,FALSE
177-207,192,0.19472500794808748,0.31488099081735726,0.09662871828969896,FALSE
183-213,198,0.15003244439861235,0.2884945870407899,0.08608475714330166,FALSE
189-219,204,0.14130604262066,0.20816497906002837,0.08681121453184726,FALSE
195-225,210,0.13682763263018516,0.1952627641632862,0.09141725532397926,FALSE
201-231,216,0.13487807991262185,0.20065317218079964,0.08234874192392322,FALSE
207-237,222,0.13827999836496335,0.20533015370863159,0.0841669734519728,FALSE
213-243,228,0.1312067551824732,0.19992427426781978,0.08237141627713888,FALSE
