Depth,Cyperaceae,Sparganium type,Alismataceae,Iris,Menyanthes,Rumex aquaticus type,Epipctis,Orchidaceae,Drosera rotundifolia type,Scheuchzeria,Eriocaulon,Utricularia,Litorella,Sphagnum,Selaginella selaginoides,Potamogeton subgen. Eupotamogeton,Ruppia maritima,Elodea,Nuphar,HdV-127,Utricularia - hair,Myriophyllum ,Filicales monolete,Thelypteris,Polypodium,Pteridium,Osmunda,Botrychium,Equisetum,Huperzia,Lycopodiella inundata,Lycopodium annotinum,Isoetes,Scenedesmus,Pediastrum,Botryococcus,Tetraedron,Zygnemataceae,Dinoflagellata,HdV-128A,HdV-128B,HdV-1,HdV-13,HdV-55A,HdV-112,HdV-113,HdV-205,HdV-126 Clasterosporium caricinum,HdV-143,HdV-572,Glomeromycota
0.25,213,1,0,0,0,0,0,0,0,0,0,0,0,51,3,9,0,0,0,0,0,2,22,0,2,0,19,2,0,5,0,0,26,2105,353,55,0,2,0,0,11,0,12,7,0,0,0,0,0,1,1
3.75,231,0,1,0,0,0,0,0,1,1,0,0,0,256,3,18,0,0,0,0,0,0,15,0,4,1,15,0,0,0,0,0,39,270,258,35,0,0,0,0,7,0,10,1,0,0,0,1,0,0,0
4.25,289,0,0,0,0,0,0,0,0,0,0,0,0,238,7,20,0,0,0,0,2,0,20,0,2,1,23,0,0,2,0,0,54,685,196,69,0,0,0,0,9,0,23,0,0,0,0,2,0,0,1
4.75,234,0,1,0,0,0,0,0,0,0,0,0,0,206,9,19,0,0,0,0,1,0,29,0,1,0,10,0,0,6,1,0,53,2034,830,57,0,0,0,0,9,0,11,1,2,0,0,2,0,3,0
5.25,224,0,1,0,0,0,0,0,0,0,0,0,0,160,5,20,0,0,0,0,0,0,24,0,2,0,20,0,0,2,0,0,53,1105,354,46,0,2,0,1,5,1,12,2,0,1,0,0,0,1,0
5.75,147,1,0,0,0,0,0,0,0,0,0,0,1,210,3,20,0,0,0,0,0,0,27,0,2,2,15,0,0,2,0,0,83,1307,661,43,0,0,0,1,8,0,14,0,0,1,0,0,0,1,0
6.25,200,0,0,0,0,0,0,1,1,0,0,2,0,173,7,22,0,0,0,0,0,0,42,1,4,0,21,1,0,6,1,0,98,222,204,51,0,0,0,1,7,1,11,2,1,0,0,0,0,1,0
6.75,138,0,0,0,0,0,0,0,0,0,0,0,0,143,2,21,0,0,0,0,0,0,23,0,2,0,11,0,0,4,0,0,73,111,156,43,0,0,0,0,6,0,9,3,0,0,0,0,0,0,0
7.25,208,0,0,0,0,0,0,0,0,0,1,1,0,190,1,23,0,0,0,0,0,0,27,0,1,3,20,0,0,4,0,0,85,183,284,36,0,0,0,0,4,0,9,0,1,0,0,0,0,1,0
7.75,187,0,0,0,0,0,0,0,0,0,0,2,0,220,5,32,0,0,1,0,0,0,27,0,0,2,13,0,0,6,2,0,86,250,158,31,0,0,0,0,3,0,6,2,0,1,0,0,0,1,0
10.25,206,1,0,0,0,0,0,0,0,0,0,0,0,241,6,23,0,0,0,0,3,1,24,0,2,0,15,0,0,3,0,0,77,783,163,33,0,0,0,0,4,1,13,5,1,0,0,0,0,1,0
13.25,180,0,0,0,0,0,0,0,1,0,0,2,1,200,4,31,0,0,1,0,0,0,35,0,3,0,21,0,0,2,2,0,110,429,353,47,0,0,0,0,4,2,10,0,0,0,0,0,0,2,0
16.25,198,1,0,0,0,0,0,0,1,0,0,1,0,137,1,27,0,0,0,0,0,0,21,0,2,0,17,0,0,3,1,0,106,238,262,26,0,0,0,0,9,0,6,1,1,2,0,0,0,1,0
19.25,188,0,0,0,1,0,0,0,0,0,0,1,0,102,7,23,0,0,0,0,0,1,25,0,2,2,21,0,0,5,0,0,123,1260,868,28,0,0,0,0,16,1,6,1,1,0,0,0,0,2,0
21.75,179,0,0,1,0,0,0,0,1,0,0,1,0,78,4,3,0,0,0,0,0,0,52,0,5,3,18,0,0,4,0,0,135,1629,154,8,0,0,0,0,14,0,6,0,3,0,0,0,0,4,0
22.25,143,0,0,0,0,0,0,0,0,0,0,1,1,131,5,4,0,0,0,0,0,0,61,0,5,0,41,1,0,4,1,0,205,671,278,12,0,0,0,1,6,0,5,3,2,1,0,1,0,0,0
22.75,145,0,0,0,0,0,0,0,0,0,0,0,0,114,5,5,0,0,0,0,0,0,48,0,2,0,27,0,0,4,1,0,145,113,158,13,0,0,0,0,11,1,4,2,0,0,0,0,0,2,0
23.25,123,0,0,0,0,0,0,0,0,0,0,0,0,69,0,2,0,0,0,0,0,1,59,0,4,1,29,0,0,4,0,0,160,36,178,14,0,0,0,0,13,0,2,3,1,0,0,4,0,4,0
23.75,96,0,0,0,0,0,0,0,0,0,0,1,0,61,2,3,0,0,0,0,0,0,52,0,1,1,30,0,0,6,3,0,109,10,68,9,0,0,0,0,8,1,4,1,0,1,0,2,1,8,0
24.25,109,1,0,0,0,0,0,0,0,0,0,1,1,91,3,3,0,0,0,0,0,0,45,0,2,2,20,0,0,6,1,0,145,210,80,5,0,1,0,0,8,0,3,2,1,1,0,1,0,6,0
24.75,130,0,0,0,0,1,0,0,2,0,1,1,1,97,2,3,0,0,0,0,0,0,46,0,1,2,22,0,0,7,0,0,145,507,317,8,0,0,0,0,9,0,7,1,1,2,0,1,0,1,0
25.25,118,0,0,0,0,1,0,0,1,0,0,1,0,123,4,6,0,0,0,0,0,0,42,0,3,0,18,0,0,2,0,0,190,80,145,19,0,0,0,1,16,0,10,1,0,0,0,0,0,8,0
25.75,130,0,0,0,0,0,0,0,0,0,0,0,0,119,3,6,0,0,0,0,1,0,43,0,3,0,22,0,0,6,0,0,177,121,167,23,0,0,0,0,10,0,5,2,1,3,0,1,0,6,0
27.75,159,1,0,0,0,0,0,0,1,0,0,0,0,153,5,4,1,0,1,0,0,0,37,0,1,0,20,0,0,3,0,0,337,413,326,25,0,0,0,0,26,0,4,1,0,0,0,1,0,6,0
29.75,121,0,0,0,0,0,0,0,1,0,0,1,0,108,3,8,0,0,0,0,0,0,25,0,0,2,12,0,0,2,0,0,278,2134,506,26,0,1,0,1,21,0,4,2,0,1,0,0,0,1,0
30.25,160,0,0,0,0,0,0,0,1,0,0,1,1,159,2,6,1,0,0,0,0,0,34,0,0,1,22,0,0,2,1,0,285,884,985,27,0,0,0,0,26,1,3,0,0,0,0,1,0,0,0
30.75,143,1,0,0,0,0,0,0,0,0,0,0,1,152,6,13,1,0,0,0,0,0,27,0,1,1,18,0,0,3,1,0,312,694,496,29,0,0,0,0,22,0,8,1,1,0,1,0,0,1,0
31.25,93,0,0,0,0,0,0,0,0,0,0,2,2,102,0,10,0,0,0,0,0,0,18,0,0,0,8,0,1,3,0,0,248,2138,810,16,0,1,0,0,21,0,8,2,0,0,0,0,0,2,0
31.75,156,0,0,0,0,0,0,0,0,0,1,2,0,123,5,3,0,0,0,0,0,1,22,0,0,1,20,0,0,2,0,0,243,764,804,18,0,2,0,0,18,0,5,2,0,1,1,0,0,1,0
32.25,106,0,0,0,0,0,0,0,0,0,1,0,3,116,2,5,0,1,0,0,0,0,37,0,0,0,16,0,1,4,0,0,280,1411,512,25,0,2,0,0,21,0,8,0,2,0,0,0,0,1,0
32.75,120,0,0,0,0,0,0,0,0,0,0,0,4,151,0,2,0,0,0,0,0,0,33,0,1,1,26,0,0,1,0,0,240,809,590,21,0,0,0,0,17,0,0,1,1,0,0,0,0,3,0
33.25,156,3,0,0,0,0,0,0,1,0,0,0,0,92,1,1,0,0,1,0,0,1,43,0,0,2,20,0,2,1,0,0,353,10200,408,10,0,0,0,0,13,0,2,1,0,0,0,0,0,0,0
33.75,151,0,0,0,0,2,0,0,1,0,0,0,1,86,1,5,0,0,0,0,0,0,31,0,1,1,13,0,1,3,0,0,374,3158,823,26,42,0,0,1,9,0,5,0,0,0,0,1,0,0,0
34.25,169,2,2,0,0,0,0,0,0,0,0,0,1,115,3,7,0,0,2,1,0,0,38,0,2,0,20,0,0,4,0,0,438,18980,2190,35,146,0,0,1,16,0,0,0,0,0,0,0,0,0,0
34.75,146,0,0,0,0,0,0,0,0,0,1,0,2,103,2,9,0,0,1,0,0,2,30,0,0,1,21,0,1,5,0,0,331,6620,794,34,0,1,0,4,17,0,6,1,0,0,0,0,0,1,0
35.25,133,0,0,0,0,1,0,0,0,0,1,0,0,95,2,10,0,0,0,0,0,0,14,0,1,1,6,0,4,5,1,0,382,334,334,25,0,2,0,0,7,0,1,0,0,0,0,0,0,0,0
35.75,208,0,0,0,0,1,1,0,1,0,2,0,4,113,5,5,0,0,0,0,0,2,38,0,1,1,18,2,1,5,2,0,344,3588,3120,29,78,5,1,0,14,0,0,0,0,0,0,0,0,1,0
36.25,142,0,0,0,0,0,0,0,1,0,0,0,0,93,2,1,0,0,2,0,0,1,22,0,0,0,18,0,0,3,1,0,177,748,968,23,15,5,1,1,12,1,4,1,0,1,0,0,0,2,0
36.75,214,0,0,0,1,0,0,0,0,0,0,0,4,137,7,8,0,0,0,0,0,3,20,0,1,0,9,1,0,4,1,1,282,657,657,19,60,0,0,3,14,2,0,3,1,0,0,0,0,1,0
