Depth,taxon,count,apnap_count_sums,count_sum,rel_abund
0.25,"Potamogeton subgen. 
 Eupotamogeton",9,804,2902,1.1194029850746268
0.25,Isoëtes,26,804,2902,3.233830845771144
0.25,Scenedesmus,2105,804,2902,261.81592039800995
0.25,Pediastrum,353,804,2902,43.90547263681592
0.25,Botryococcus,55,804,2902,6.8407960199004965
0.25,Tetraëdron,0,804,2902,0
0.25,HdV-128B,11,804,2902,1.3681592039800996
3.75,"Potamogeton subgen. 
 Eupotamogeton",18,615.5,1167,2.924451665312754
3.75,Isoëtes,39,615.5,1167,6.336311941510966
3.75,Scenedesmus,270,615.5,1167,43.86677497969131
3.75,Pediastrum,258,615.5,1167,41.917140536149475
3.75,Botryococcus,35,615.5,1167,5.686433793663688
3.75,Tetraëdron,0,615.5,1167,0
3.75,HdV-128B,7,615.5,1167,1.1372867587327375
4.25,"Potamogeton subgen. 
 Eupotamogeton",20,723.5,1643,2.7643400138217
4.25,Isoëtes,54,723.5,1643,7.463718037318589
4.25,Scenedesmus,685,723.5,1643,94.67864547339323
4.25,Pediastrum,196,723.5,1643,27.090532135452662
4.25,Botryococcus,69,723.5,1643,9.536973047684866
4.25,Tetraëdron,0,723.5,1643,0
4.25,HdV-128B,9,723.5,1643,1.243953006219765
4.75,"Potamogeton subgen. 
 Eupotamogeton",19,705.5,3519,2.6931254429482636
4.75,Isoëtes,53,705.5,3519,7.5124025513819985
4.75,Scenedesmus,2034,705.5,3519,288.30616583982993
4.75,Pediastrum,830,705.5,3519,117.64705882352942
4.75,Botryococcus,57,705.5,3519,8.079376328844791
4.75,Tetraëdron,0,705.5,3519,0
4.75,HdV-128B,9,705.5,3519,1.2756909992912826
5.25,"Potamogeton subgen. 
 Eupotamogeton",20,738,2041,2.710027100271003
5.25,Isoëtes,53,738,2041,7.181571815718158
5.25,Scenedesmus,1105,738,2041,149.7289972899729
5.25,Pediastrum,354,738,2041,47.96747967479675
5.25,Botryococcus,46,738,2041,6.233062330623306
5.25,Tetraëdron,0,738,2041,0
5.25,HdV-128B,5,738,2041,0.6775067750677507
5.75,"Potamogeton subgen. 
 Eupotamogeton",20,714.5,2549,2.7991602519244227
5.75,Isoëtes,83,714.5,2549,11.616515045486354
5.75,Scenedesmus,1307,714.5,2549,182.92512246326103
5.75,Pediastrum,661,714.5,2549,92.51224632610217
5.75,Botryococcus,43,714.5,2549,6.0181945416375084
5.75,Tetraëdron,0,714.5,2549,0
5.75,HdV-128B,8,714.5,2549,1.119664100769769
6.25,"Potamogeton subgen. 
 Eupotamogeton",22,749,1081,2.9372496662216285
6.25,Isoëtes,98,749,1081,13.084112149532709
6.25,Scenedesmus,222,749,1081,29.639519359145527
6.25,Pediastrum,204,749,1081,27.236315086782376
6.25,Botryococcus,51,749,1081,6.809078771695594
6.25,Tetraëdron,0,749,1081,0
6.25,HdV-128B,7,749,1081,0.9345794392523363
6.75,"Potamogeton subgen. 
 Eupotamogeton",21,603,745,3.482587064676617
6.75,Isoëtes,73,603,745,12.106135986733001
6.75,Scenedesmus,111,603,745,18.407960199004975
6.75,Pediastrum,156,603,745,25.870646766169152
6.75,Botryococcus,43,603,745,7.131011608623548
6.75,Tetraëdron,0,603,745,0
6.75,HdV-128B,6,603,745,0.9950248756218906
7.25,"Potamogeton subgen. 
 Eupotamogeton",23,661,1082,3.479576399394856
7.25,Isoëtes,85,661,1082,12.859304084720122
7.25,Scenedesmus,183,661,1082,27.685325264750375
7.25,Pediastrum,284,661,1082,42.96520423600605
7.25,Botryococcus,36,661,1082,5.446293494704992
7.25,Tetraëdron,0,661,1082,0
7.25,HdV-128B,4,661,1082,0.6051437216338881
7.75,"Potamogeton subgen. 
 Eupotamogeton",32,696,1035,4.597701149425287
7.75,Isoëtes,86,696,1035,12.35632183908046
7.75,Scenedesmus,250,696,1035,35.91954022988506
7.75,Pediastrum,158,696,1035,22.701149425287355
7.75,Botryococcus,31,696,1035,4.454022988505748
7.75,Tetraëdron,0,696,1035,0
7.75,HdV-128B,3,696,1035,0.43103448275862066
10.25,"Potamogeton subgen. 
 Eupotamogeton",23,692.5,1606,3.32129963898917
10.25,Isoëtes,77,692.5,1606,11.11913357400722
10.25,Scenedesmus,783,692.5,1606,113.06859205776175
10.25,Pediastrum,163,692.5,1606,23.537906137184113
10.25,Botryococcus,33,692.5,1606,4.765342960288808
10.25,Tetraëdron,0,692.5,1606,0
10.25,HdV-128B,4,692.5,1606,0.5776173285198556
13.25,"Potamogeton subgen. 
 Eupotamogeton",31,754,1440,4.111405835543767
13.25,Isoëtes,110,754,1440,14.588859416445624
13.25,Scenedesmus,429,754,1440,56.896551724137936
13.25,Pediastrum,353,754,1440,46.816976127320956
13.25,Botryococcus,47,754,1440,6.23342175066313
13.25,Tetraëdron,0,754,1440,0
13.25,HdV-128B,4,754,1440,0.5305039787798408
16.25,"Potamogeton subgen. 
 Eupotamogeton",27,579.5,1062,4.659188955996549
16.25,Isoëtes,106,579.5,1062,18.2916307161346
16.25,Scenedesmus,238,579.5,1062,41.069887834339944
16.25,Pediastrum,262,579.5,1062,45.211389128559105
16.25,Botryococcus,26,579.5,1062,4.486626402070751
16.25,Tetraëdron,0,579.5,1062,0
16.25,HdV-128B,9,579.5,1062,1.553062985332183
19.25,"Potamogeton subgen. 
 Eupotamogeton",23,783,2684,2.937420178799489
19.25,Isoëtes,123,783,2684,15.708812260536398
19.25,Scenedesmus,1260,783,2684,160.91954022988506
19.25,Pediastrum,868,783,2684,110.85568326947637
19.25,Botryococcus,28,783,2684,3.5759897828863343
19.25,Tetraëdron,0,783,2684,0
19.25,HdV-128B,16,783,2684,2.0434227330779056
21.75,"Potamogeton subgen. 
 Eupotamogeton",3,857,2302,0.3500583430571762
21.75,Isoëtes,135,857,2302,15.752625437572929
21.75,Scenedesmus,1629,857,2302,190.08168028004667
21.75,Pediastrum,154,857,2302,17.96966161026838
21.75,Botryococcus,8,857,2302,0.9334889148191364
21.75,Tetraëdron,0,857,2302,0
21.75,HdV-128B,14,857,2302,1.633605600933489
22.25,"Potamogeton subgen. 
 Eupotamogeton",4,735.5,1583,0.5438477226376615
22.25,Isoëtes,205,735.5,1583,27.87219578518015
22.25,Scenedesmus,671,735.5,1583,91.23045547246771
22.25,Pediastrum,278,735.5,1583,37.797416723317475
22.25,Botryococcus,12,735.5,1583,1.6315431679129844
22.25,Tetraëdron,0,735.5,1583,0
22.25,HdV-128B,6,735.5,1583,0.8157715839564922
22.75,"Potamogeton subgen. 
 Eupotamogeton",5,759,800,0.6587615283267457
22.75,Isoëtes,145,759,800,19.104084321475625
22.75,Scenedesmus,113,759,800,14.888010540184455
22.75,Pediastrum,158,759,800,20.816864295125164
22.75,Botryococcus,13,759,800,1.7127799736495388
22.75,Tetraëdron,0,759,800,0
22.75,HdV-128B,11,759,800,1.4492753623188406
23.25,"Potamogeton subgen. 
 Eupotamogeton",2,755.5,707,0.26472534745201853
23.25,Isoëtes,160,755.5,707,21.178027796161484
23.25,Scenedesmus,36,755.5,707,4.765056254136334
23.25,Pediastrum,178,755.5,707,23.560555923229646
23.25,Botryococcus,14,755.5,707,1.8530774321641297
23.25,Tetraëdron,0,755.5,707,0
23.25,HdV-128B,13,755.5,707,1.7207147584381206
23.75,"Potamogeton subgen. 
 Eupotamogeton",3,699,478,0.4291845493562232
23.75,Isoëtes,109,699,478,15.593705293276109
23.75,Scenedesmus,10,699,478,1.4306151645207439
23.75,Pediastrum,68,699,478,9.72818311874106
23.75,Botryococcus,9,699,478,1.2875536480686696
23.75,Tetraëdron,0,699,478,0
23.75,HdV-128B,8,699,478,1.144492131616595
24.25,"Potamogeton subgen. 
 Eupotamogeton",3,706.5,748,0.42462845010615713
24.25,Isoëtes,145,706.5,748,20.523708421797593
24.25,Scenedesmus,210,706.5,748,29.723991507431
24.25,Pediastrum,80,706.5,748,11.323425336164188
24.25,Botryococcus,5,706.5,748,0.7077140835102618
24.25,Tetraëdron,0,706.5,748,0
24.25,HdV-128B,8,706.5,748,1.132342533616419
24.75,"Potamogeton subgen. 
 Eupotamogeton",3,737,1315,0.40705563093622793
24.75,Isoëtes,145,737,1315,19.674355495251017
24.75,Scenedesmus,507,737,1315,68.79240162822252
24.75,Pediastrum,317,737,1315,43.01221166892809
24.75,Botryococcus,8,737,1315,1.0854816824966078
24.75,Tetraëdron,0,737,1315,0
24.75,HdV-128B,9,737,1315,1.2211668928086838
25.25,"Potamogeton subgen. 
 Eupotamogeton",6,691,789,0.8683068017366137
25.25,Isoëtes,190,691,789,27.496382054992765
25.25,Scenedesmus,80,691,789,11.577424023154848
25.25,Pediastrum,145,691,789,20.98408104196816
25.25,Botryococcus,19,691,789,2.7496382054992763
25.25,Tetraëdron,0,691,789,0
25.25,HdV-128B,16,691,789,2.3154848046309695
25.75,"Potamogeton subgen. 
 Eupotamogeton",6,726,849,0.8264462809917356
25.75,Isoëtes,177,726,849,24.380165289256198
25.75,Scenedesmus,121,726,849,16.666666666666664
25.75,Pediastrum,167,726,849,23.002754820936637
25.75,Botryococcus,23,726,849,3.1680440771349865
25.75,Tetraëdron,0,726,849,0
25.75,HdV-128B,10,726,849,1.3774104683195594
27.75,"Potamogeton subgen. 
 Eupotamogeton",4,744,1525,0.5376344086021506
27.75,Isoëtes,337,744,1525,45.295698924731184
27.75,Scenedesmus,413,744,1525,55.51075268817204
27.75,Pediastrum,326,744,1525,43.81720430107527
27.75,Botryococcus,25,744,1525,3.3602150537634405
27.75,Tetraëdron,0,744,1525,0
27.75,HdV-128B,26,744,1525,3.494623655913978
29.75,"Potamogeton subgen. 
 Eupotamogeton",8,579.5,3258,1.380500431406385
29.75,Isoëtes,278,579.5,3258,47.97238999137187
29.75,Scenedesmus,2134,579.5,3258,368.2484900776532
29.75,Pediastrum,506,579.5,3258,87.31665228645385
29.75,Botryococcus,26,579.5,3258,4.486626402070751
29.75,Tetraëdron,0,579.5,3258,0
29.75,HdV-128B,21,579.5,3258,3.62381363244176
30.25,"Potamogeton subgen. 
 Eupotamogeton",6,681.5,2603,0.880410858400587
30.25,Isoëtes,285,681.5,2603,41.819515774027884
