Depth,taxon,count,apnap_count_sums,count_sum,rel_abund
0.25,Cyperaceae,213,804,2902,26.492537313432834
0.25,Sparganium type,1,804,2902,0.12437810945273632
0.25,Alismataceae,0,804,2902,0
0.25,Iris,0,804,2902,0
0.25,Menyanthes,0,804,2902,0
0.25,Rumex aquaticus type,0,804,2902,0
0.25,Epipctis,0,804,2902,0
0.25,Orchidaceae,0,804,2902,0
0.25,Drosera rotundifolia type,0,804,2902,0
0.25,Scheuchzeria,0,804,2902,0
0.25,Eriocaulon,0,804,2902,0
0.25,Litorella,0,804,2902,0
0.25,Sphagnum,51,804,2902,6.343283582089552
0.25,Selaginella selaginoides,3,804,2902,0.3731343283582089
0.25,HdV-127,0,804,2902,0
0.25,Filicales monolete,22,804,2902,2.736318407960199
0.25,Thelypteris,0,804,2902,0
0.25,Polypodium,2,804,2902,0.24875621890547264
0.25,Pteridium,0,804,2902,0
0.25,Osmunda,19,804,2902,2.36318407960199
0.25,Botrychium,2,804,2902,0.24875621890547264
0.25,Equisetum,0,804,2902,0
0.25,Huperzia,5,804,2902,0.6218905472636816
0.25,Lycopodiella inundata,0,804,2902,0
0.25,Lycopodium annotinum,0,804,2902,0
0.25,HdV-1,0,804,2902,0
0.25,HdV-13,12,804,2902,1.4925373134328357
0.25,HdV-55A,7,804,2902,0.8706467661691543
0.25,HdV-112,0,804,2902,0
0.25,HdV-113,0,804,2902,0
0.25,HdV-205,0,804,2902,0
0.25,HdV-126 Clasterosporium caricinum,0,804,2902,0
0.25,HdV-143,0,804,2902,0
0.25,HdV-572,1,804,2902,0.12437810945273632
0.25,Glomeromycota,1,804,2902,0.12437810945273632
3.75,Cyperaceae,231,615.5,1167,37.530463038180336
3.75,Sparganium type,0,615.5,1167,0
3.75,Alismataceae,1,615.5,1167,0.16246953696181965
3.75,Iris,0,615.5,1167,0
3.75,Menyanthes,0,615.5,1167,0
3.75,Rumex aquaticus type,0,615.5,1167,0
3.75,Epipctis,0,615.5,1167,0
3.75,Orchidaceae,0,615.5,1167,0
3.75,Drosera rotundifolia type,1,615.5,1167,0.16246953696181965
3.75,Scheuchzeria,1,615.5,1167,0.16246953696181965
3.75,Eriocaulon,0,615.5,1167,0
3.75,Litorella,0,615.5,1167,0
3.75,Sphagnum,256,615.5,1167,41.59220146222583
3.75,Selaginella selaginoides,3,615.5,1167,0.487408610885459
3.75,HdV-127,0,615.5,1167,0
3.75,Filicales monolete,15,615.5,1167,2.4370430544272947
3.75,Thelypteris,0,615.5,1167,0
3.75,Polypodium,4,615.5,1167,0.6498781478472786
3.75,Pteridium,1,615.5,1167,0.16246953696181965
3.75,Osmunda,15,615.5,1167,2.4370430544272947
3.75,Botrychium,0,615.5,1167,0
3.75,Equisetum,0,615.5,1167,0
3.75,Huperzia,0,615.5,1167,0
3.75,Lycopodiella inundata,0,615.5,1167,0
3.75,Lycopodium annotinum,0,615.5,1167,0
3.75,HdV-1,0,615.5,1167,0
3.75,HdV-13,10,615.5,1167,1.6246953696181965
3.75,HdV-55A,1,615.5,1167,0.16246953696181965
3.75,HdV-112,0,615.5,1167,0
3.75,HdV-113,0,615.5,1167,0
3.75,HdV-205,0,615.5,1167,0
3.75,HdV-126 Clasterosporium caricinum,1,615.5,1167,0.16246953696181965
3.75,HdV-143,0,615.5,1167,0
3.75,HdV-572,0,615.5,1167,0
3.75,Glomeromycota,0,615.5,1167,0
4.25,Cyperaceae,289,723.5,1643,39.944713199723566
4.25,Sparganium type,0,723.5,1643,0
4.25,Alismataceae,0,723.5,1643,0
4.25,Iris,0,723.5,1643,0
4.25,Menyanthes,0,723.5,1643,0
4.25,Rumex aquaticus type,0,723.5,1643,0
4.25,Epipctis,0,723.5,1643,0
4.25,Orchidaceae,0,723.5,1643,0
4.25,Drosera rotundifolia type,0,723.5,1643,0
4.25,Scheuchzeria,0,723.5,1643,0
4.25,Eriocaulon,0,723.5,1643,0
4.25,Litorella,0,723.5,1643,0
4.25,Sphagnum,238,723.5,1643,32.89564616447823
