Depth,Bosmina longirostris,Eubosmina,Sida crystallina,Eurycercus spp.,Acroperus harpae,Alonella nana,Graptoleberis testudinaria,Alona affinis,Alona quadrangularis,Alonella excisa,Chydorus sphaericus,Chydorus sphaericus cael.,Alona intermedia,Alona costata/Alona rustica,Alona guttata,small Alona,Alonopsis spp.,Paralona pigra,Monospilus dispar,Rynchotalona falcata,Leydigia leydigi,Disparalona hammata,Latona setifera,Acantholeberis curvirostris,Ilyocryptus sp.,Drepanothrix sp.,volume
0.25,350,0,0,0,150,0,20,100,20,0,70,0,20,0,20,40,0,0,0,0,100,0,20,0,0,20,0.5
3.75,660,0,0,20,300,0,40,240,40,0,140,0,0,0,20,40,0,0,0,0,140,0,0,0,0,0,0.25
4.25,583.3333333333334,0,0,50,233.33333333333337,0,16.666666666666668,133.33333333333334,33.333333333333336,0,100,0,0,0,16.666666666666668,33.333333333333336,0,0,0,0,133.33333333333334,0,33.333333333333336,0,0,0,0.3
4.75,616.6666666666667,0,0,33.333333333333336,133.33333333333334,16.666666666666668,50,133.33333333333334,166.66666666666669,0,150,0,0,0,0,33.333333333333336,0,0,0,0,166.66666666666669,0,0,0,0,0,0.3
5.25,1466.666666666667,0,66.66666666666667,33.333333333333336,266.6666666666667,66.66666666666667,0,66.66666666666667,66.66666666666667,0,200,0,0,0,0,200,0,0,0,0,233.33333333333337,0,0,0,0,0,0.15
5.75,1500,0,0,0,250,0,50,300,100,0,350,0,0,0,50,50,0,0,0,0,400,0,50,0,0,0,0.2
6.25,2500,0,0,0,200,0,100,200,266.6666666666667,0,333.33333333333337,0,0,0,66.66666666666667,200,0,0,0,0,200,0,0,0,0,0,0.15
6.75,2533.3333333333335,0,0,33.333333333333336,400,66.66666666666667,66.66666666666667,100,200,0,400,0,0,66.66666666666667,66.66666666666667,33.333333333333336,0,66.66666666666667,0,0,266.6666666666667,0,0,0,0,0,0.15
7.25,1650,0,50,0,200,25,75,150,200,0,275,0,0,50,25,350,0,0,0,0,250,0,25,0,0,0,0.2
7.75,1933.3333333333335,0,0,0,266.6666666666667,0,233.33333333333337,133.33333333333334,133.33333333333334,0,266.6666666666667,0,0,0,66.66666666666667,66.66666666666667,0,0,0,0,233.33333333333337,0,66.66666666666667,0,0,0,0.15
10.25,2100,0,0,33.333333333333336,200,0,66.66666666666667,133.33333333333334,133.33333333333334,0,233.33333333333337,0,0,100,0,33.333333333333336,0,0,0,0,200,0,0,0,0,0,0.15
13.25,2925,0,0,0,275,100,150,100,50,25,175,0,0,150,50,175,0,0,0,25,150,0,0,50,0,0,0.2
16.25,2833.333333333334,33.333333333333336,0,33.333333333333336,200,33.333333333333336,66.66666666666667,333.33333333333337,133.33333333333334,0,100,0,0,66.66666666666667,33.333333333333336,133.33333333333334,0,0,66.66666666666667,133.33333333333334,66.66666666666667,0,200,66.66666666666667,0,0,0.15
19.25,2625,0,0,25,250,50,50,300,150,0,200,0,0,50,75,50,0,25,0,0,100,0,100,50,0,0,0.2
21.75,3175,0,0,0,425,0,150,250,100,0,75,50,50,100,125,0,25,0,0,50,250,25,150,100,0,0,0.2
