Depth,volume,taxon,count,count_sum,rel_abund
0.25,0.5,Bosmina longirostris,350,930,37.634408602150536
0.25,0.5,Sida crystallina,0,930,0
0.25,0.5,Eurycercus spp.,0,930,0
0.25,0.5,Acroperus harpae,150,930,16.129032258064516
0.25,0.5,Alonella nana,0,930,0
0.25,0.5,Graptoleberis testudinaria,20,930,2.1505376344086025
0.25,0.5,Alona affinis,100,930,10.75268817204301
0.25,0.5,Alona quadrangularis,20,930,2.1505376344086025
0.25,0.5,Chydorus biovatus/brevilabris,70,930,7.526881720430108
0.25,0.5,Alona intermedia,20,930,2.1505376344086025
0.25,0.5,Alona costata/Alona rustica,0,930,0
0.25,0.5,Alona guttata,20,930,2.1505376344086025
0.25,0.5,small Alona,40,930,4.301075268817205
0.25,0.5,Paralona pigra,0,930,0
0.25,0.5,Rynchotalona falcata,0,930,0
0.25,0.5,Leydigia leydigi,100,930,10.75268817204301
0.25,0.5,Latona setifera,20,930,2.1505376344086025
0.25,0.5,Acantholeberis curvirostris,0,930,0
3.75,0.25,Bosmina longirostris,660,1640,40.243902439024396
3.75,0.25,Sida crystallina,0,1640,0
3.75,0.25,Eurycercus spp.,20,1640,1.2195121951219512
3.75,0.25,Acroperus harpae,300,1640,18.29268292682927
3.75,0.25,Alonella nana,0,1640,0
3.75,0.25,Graptoleberis testudinaria,40,1640,2.4390243902439024
3.75,0.25,Alona affinis,240,1640,14.634146341463413
3.75,0.25,Alona quadrangularis,40,1640,2.4390243902439024
3.75,0.25,Chydorus biovatus/brevilabris,140,1640,8.536585365853659
3.75,0.25,Alona intermedia,0,1640,0
3.75,0.25,Alona costata/Alona rustica,0,1640,0
3.75,0.25,Alona guttata,20,1640,1.2195121951219512
3.75,0.25,small Alona,40,1640,2.4390243902439024
3.75,0.25,Paralona pigra,0,1640,0
3.75,0.25,Rynchotalona falcata,0,1640,0
3.75,0.25,Leydigia leydigi,140,1640,8.536585365853659
3.75,0.25,Latona setifera,0,1640,0
3.75,0.25,Acantholeberis curvirostris,0,1640,0
4.25,0.3,Bosmina longirostris,583.3333333333334,1366.6666666666667,42.68292682926829
4.25,0.3,Sida crystallina,0,1366.6666666666667,0
4.25,0.3,Eurycercus spp.,50,1366.6666666666667,3.6585365853658534
4.25,0.3,Acroperus harpae,233.33333333333337,1366.6666666666667,17.073170731707318
4.25,0.3,Alonella nana,0,1366.6666666666667,0
4.25,0.3,Graptoleberis testudinaria,16.666666666666668,1366.6666666666667,1.2195121951219512
4.25,0.3,Alona affinis,133.33333333333334,1366.6666666666667,9.75609756097561
4.25,0.3,Alona quadrangularis,33.333333333333336,1366.6666666666667,2.4390243902439024
4.25,0.3,Chydorus biovatus/brevilabris,100,1366.6666666666667,7.317073170731707
4.25,0.3,Alona intermedia,0,1366.6666666666667,0
4.25,0.3,Alona costata/Alona rustica,0,1366.6666666666667,0
4.25,0.3,Alona guttata,16.666666666666668,1366.6666666666667,1.2195121951219512
4.25,0.3,small Alona,33.333333333333336,1366.6666666666667,2.4390243902439024
4.25,0.3,Paralona pigra,0,1366.6666666666667,0
4.25,0.3,Rynchotalona falcata,0,1366.6666666666667,0
4.25,0.3,Leydigia leydigi,133.33333333333334,1366.6666666666667,9.75609756097561
4.25,0.3,Latona setifera,33.333333333333336,1366.6666666666667,2.4390243902439024
4.25,0.3,Acantholeberis curvirostris,0,1366.6666666666667,0
4.75,0.3,Bosmina longirostris,616.6666666666667,1500.0000000000002,41.11111111111111
4.75,0.3,Sida crystallina,0,1500.0000000000002,0
4.75,0.3,Eurycercus spp.,33.333333333333336,1500.0000000000002,2.222222222222222
4.75,0.3,Acroperus harpae,133.33333333333334,1500.0000000000002,8.888888888888888
4.75,0.3,Alonella nana,16.666666666666668,1500.0000000000002,1.111111111111111
4.75,0.3,Graptoleberis testudinaria,50,1500.0000000000002,3.3333333333333326
4.75,0.3,Alona affinis,133.33333333333334,1500.0000000000002,8.888888888888888
4.75,0.3,Alona quadrangularis,166.66666666666669,1500.0000000000002,11.11111111111111
4.75,0.3,Chydorus biovatus/brevilabris,150,1500.0000000000002,10
4.75,0.3,Alona intermedia,0,1500.0000000000002,0
4.75,0.3,Alona costata/Alona rustica,0,1500.0000000000002,0
4.75,0.3,Alona guttata,0,1500.0000000000002,0
4.75,0.3,small Alona,33.333333333333336,1500.0000000000002,2.222222222222222
4.75,0.3,Paralona pigra,0,1500.0000000000002,0
4.75,0.3,Rynchotalona falcata,0,1500.0000000000002,0
4.75,0.3,Leydigia leydigi,166.66666666666669,1500.0000000000002,11.11111111111111
4.75,0.3,Latona setifera,0,1500.0000000000002,0
4.75,0.3,Acantholeberis curvirostris,0,1500.0000000000002,0
5.25,0.15,Bosmina longirostris,1466.666666666667,2666.666666666667,55.00000000000001
5.25,0.15,Sida crystallina,66.66666666666667,2666.666666666667,2.5
5.25,0.15,Eurycercus spp.,33.333333333333336,2666.666666666667,1.25
5.25,0.15,Acroperus harpae,266.6666666666667,2666.666666666667,10
5.25,0.15,Alonella nana,66.66666666666667,2666.666666666667,2.5
5.25,0.15,Graptoleberis testudinaria,0,2666.666666666667,0
5.25,0.15,Alona affinis,66.66666666666667,2666.666666666667,2.5
5.25,0.15,Alona quadrangularis,66.66666666666667,2666.666666666667,2.5
5.25,0.15,Chydorus biovatus/brevilabris,200,2666.666666666667,7.5
5.25,0.15,Alona intermedia,0,2666.666666666667,0
5.25,0.15,Alona costata/Alona rustica,0,2666.666666666667,0
5.25,0.15,Alona guttata,0,2666.666666666667,0
5.25,0.15,small Alona,200,2666.666666666667,7.5
5.25,0.15,Paralona pigra,0,2666.666666666667,0
5.25,0.15,Rynchotalona falcata,0,2666.666666666667,0
5.25,0.15,Leydigia leydigi,233.33333333333337,2666.666666666667,8.75
5.25,0.15,Latona setifera,0,2666.666666666667,0
5.25,0.15,Acantholeberis curvirostris,0,2666.666666666667,0
5.75,0.2,Bosmina longirostris,1500,3100,48.38709677419355
5.75,0.2,Sida crystallina,0,3100,0
5.75,0.2,Eurycercus spp.,0,3100,0
5.75,0.2,Acroperus harpae,250,3100,8.064516129032258
5.75,0.2,Alonella nana,0,3100,0
5.75,0.2,Graptoleberis testudinaria,50,3100,1.6129032258064515
5.75,0.2,Alona affinis,300,3100,9.67741935483871
5.75,0.2,Alona quadrangularis,100,3100,3.225806451612903
