Depth;Age
0.25;2018.149359
3.75;2006.240381
4.25;2003.678325
4.75;2000.255494
5.25;1996.832663
5.75;1993.409832
6.25;1989.975268
6.75;1986.528971
7.25;1983.082674
7.75;1979.636377
10.25;1962.653417
13.25;1942.192162
16.25;1921.159457
19.25;1899.328109
21.75;1880.235613
22.25;1876.037872
22.75;1871.513207
23.25;1866.988542
23.75;1862.463878
24.25;1857.59629
24.75;1852.385779
25.25;1847.766717
25.75;1843.679372
27.75;1826.90974
29.75;1809.363597
30.25;1805.009594
30.75;1800.553194
31.25;1795.467479
31.75;1790.281501
32.25;1785.532843
32.75;1780.939913
33.25;1776.310718
33.75;1771.289002
34.25;1765.66997
34.75;1759.688282
35.25;1750.325361
35.75;1740.124066
36.25;1733.291203
36.75;1727.042857
37.25;1720.527852
37.75;1713.987247
38.25;1706.761863
