depth,taxon,count,count_sum,rel_abund
0.25,Nitzschia tubicola,0,400,0
0.25,Cocconeis scutellum,0,400,0
0.25,Navicula hanseatica,15,400,3.75
0.25,Navicula meniscus,7,400,1.7500000000000002
0.25,Navicula peregrina,2,400,0.5
0.25,Pinnunavis elegans,6,400,1.5
0.25,Diploneeis smithii,0,400,0
0.25,Navicula gregaria,0,400,0
0.25,Planothidium delicathulum,0,400,0
0.25,Stephanocyclus meneghinianus,3,400,0.75
0.25,Ctenophora pulchella,2,400,0.5
0.25,Diatoma moniloformis,18,400,4.5
0.25,Navicula radiosa,0,400,0
0.25,Nitzschia incospicua,8,400,2
0.25,Pseudostaurosira elliptica,81,400,20.25
0.25,Diatoma tenuis,3,400,0.75
0.25,Pseudostaurosira brevistriata,0,400,0
0.25,Nitzschia palea,12,400,3
0.25,Pinnularia borealis,5,400,1.25
0.25,Achnanthidium lineare,2,400,0.5
0.25,Achnanthidium minutissimum,37,400,9.25
0.25,Achnanthidium petersenii,25,400,6.25
0.25,Brachysira serians,0,400,0
0.25,Cocconeis placentula,0,400,0
0.25,Encyonema neogracile,0,400,0
0.25,Fragilaria exigua,8,400,2
0.25,Fragilaria radians,1,400,0.25
0.25,Hippodonta hungarica,2,400,0.5
0.25,Nitzschia hantzschiana,0,400,0
0.25,Platessa oblongella,13,400,3.25
0.25,Stauroforma exiguiformis,111,400,27.750000000000004
0.25,Staurosira venter,11,400,2.75
0.25,Diatoma sp.,3,400,0.75
3.75,Nitzschia tubicola,10,400,2.5
3.75,Cocconeis scutellum,0,400,0
3.75,Navicula hanseatica,12,400,3
3.75,Navicula meniscus,6,400,1.5
3.75,Navicula peregrina,10,400,2.5
3.75,Pinnunavis elegans,3,400,0.75
3.75,Diploneeis smithii,1,400,0.25
3.75,Navicula gregaria,1,400,0.25
3.75,Planothidium delicathulum,1,400,0.25
3.75,Stephanocyclus meneghinianus,3,400,0.75
3.75,Ctenophora pulchella,5,400,1.25
3.75,Diatoma moniloformis,4,400,1
3.75,Navicula radiosa,0,400,0
3.75,Nitzschia incospicua,0,400,0
3.75,Pseudostaurosira elliptica,100,400,25
3.75,Diatoma tenuis,11,400,2.75
3.75,Pseudostaurosira brevistriata,8,400,2
3.75,Nitzschia palea,0,400,0
3.75,Pinnularia borealis,5,400,1.25
3.75,Achnanthidium lineare,2,400,0.5
3.75,Achnanthidium minutissimum,26,400,6.5
3.75,Achnanthidium petersenii,6,400,1.5
3.75,Brachysira serians,2,400,0.5
3.75,Cocconeis placentula,11,400,2.75
3.75,Encyonema neogracile,0,400,0
3.75,Fragilaria exigua,0,400,0
3.75,Fragilaria radians,0,400,0
3.75,Hippodonta hungarica,1,400,0.25
3.75,Nitzschia hantzschiana,0,400,0
3.75,Platessa oblongella,41,400,10.25
3.75,Stauroforma exiguiformis,93,400,23.25
3.75,Staurosira venter,0,400,0
3.75,Diatoma sp.,0,400,0
4.25,Nitzschia tubicola,3,400,0.75
4.25,Cocconeis scutellum,5,400,1.25
4.25,Navicula hanseatica,24,400,6
4.25,Navicula meniscus,11,400,2.75
4.25,Navicula peregrina,5,400,1.25
4.25,Pinnunavis elegans,8,400,2
4.25,Diploneeis smithii,2,400,0.5
4.25,Navicula gregaria,1,400,0.25
4.25,Planothidium delicathulum,7,400,1.7500000000000002
4.25,Stephanocyclus meneghinianus,1,400,0.25
4.25,Ctenophora pulchella,21,400,5.25
4.25,Diatoma moniloformis,6,400,1.5
4.25,Navicula radiosa,0,400,0
4.25,Nitzschia incospicua,0,400,0
4.25,Pseudostaurosira elliptica,94,400,23.5
4.25,Diatoma tenuis,6,400,1.5
4.25,Pseudostaurosira brevistriata,9,400,2.25
4.25,Nitzschia palea,0,400,0
4.25,Pinnularia borealis,8,400,2
4.25,Achnanthidium lineare,0,400,0
4.25,Achnanthidium minutissimum,14,400,3.5000000000000004
4.25,Achnanthidium petersenii,3,400,0.75
4.25,Brachysira serians,0,400,0
4.25,Cocconeis placentula,0,400,0
4.25,Encyonema neogracile,0,400,0
4.25,Fragilaria exigua,0,400,0
4.25,Fragilaria radians,0,400,0
4.25,Hippodonta hungarica,8,400,2
4.25,Nitzschia hantzschiana,6,400,1.5
4.25,Platessa oblongella,13,400,3.25
4.25,Stauroforma exiguiformis,121,400,30.25
4.25,Staurosira venter,0,400,0
4.25,Diatoma sp.,0,400,0
4.75,Nitzschia tubicola,1,400,0.25
4.75,Cocconeis scutellum,16,400,4
4.75,Navicula hanseatica,21,400,5.25
4.75,Navicula meniscus,8,400,2
4.75,Navicula peregrina,7,400,1.7500000000000002
4.75,Pinnunavis elegans,4,400,1
4.75,Diploneeis smithii,0,400,0
4.75,Navicula gregaria,2,400,0.5
4.75,Planothidium delicathulum,1,400,0.25
4.75,Stephanocyclus meneghinianus,3,400,0.75
4.75,Ctenophora pulchella,8,400,2
4.75,Diatoma moniloformis,6,400,1.5
4.75,Navicula radiosa,0,400,0
4.75,Nitzschia incospicua,4,400,1
4.75,Pseudostaurosira elliptica,92,400,23
4.75,Diatoma tenuis,12,400,3
4.75,Pseudostaurosira brevistriata,8,400,2
4.75,Nitzschia palea,0,400,0
4.75,Pinnularia borealis,5,400,1.25
4.75,Achnanthidium lineare,0,400,0
4.75,Achnanthidium minutissimum,12,400,3
4.75,Achnanthidium petersenii,0,400,0
4.75,Brachysira serians,3,400,0.75
4.75,Cocconeis placentula,0,400,0
4.75,Encyonema neogracile,0,400,0
4.75,Fragilaria exigua,0,400,0
4.75,Fragilaria radians,0,400,0
4.75,Hippodonta hungarica,9,400,2.25
4.75,Nitzschia hantzschiana,0,400,0
4.75,Platessa oblongella,13,400,3.25
4.75,Stauroforma exiguiformis,140,400,35
4.75,Staurosira venter,0,400,0
4.75,Diatoma sp.,0,400,0
5.25,Nitzschia tubicola,0,400,0
5.25,Cocconeis scutellum,3,400,0.75
5.25,Navicula hanseatica,17,400,4.25
5.25,Navicula meniscus,13,400,3.25
5.25,Navicula peregrina,2,400,0.5
5.25,Pinnunavis elegans,8,400,2
5.25,Diploneeis smithii,0,400,0
5.25,Navicula gregaria,0,400,0
5.25,Planothidium delicathulum,1,400,0.25
5.25,Stephanocyclus meneghinianus,3,400,0.75
5.25,Ctenophora pulchella,14,400,3.5000000000000004
5.25,Diatoma moniloformis,5,400,1.25
5.25,Navicula radiosa,0,400,0
5.25,Nitzschia incospicua,9,400,2.25
5.25,Pseudostaurosira elliptica,90,400,22.5
5.25,Diatoma tenuis,6,400,1.5
5.25,Pseudostaurosira brevistriata,10,400,2.5
5.25,Nitzschia palea,2,400,0.5
5.25,Pinnularia borealis,4,400,1
5.25,Achnanthidium lineare,0,400,0
5.25,Achnanthidium minutissimum,19,400,4.75
5.25,Achnanthidium petersenii,10,400,2.5
5.25,Brachysira serians,13,400,3.25
5.25,Cocconeis placentula,0,400,0
5.25,Encyonema neogracile,0,400,0
5.25,Fragilaria exigua,0,400,0
5.25,Fragilaria radians,0,400,0
5.25,Hippodonta hungarica,10,400,2.5
5.25,Nitzschia hantzschiana,0,400,0
5.25,Platessa oblongella,16,400,4
5.25,Stauroforma exiguiformis,118,400,29.5
5.25,Staurosira venter,0,400,0
5.25,Diatoma sp.,0,400,0
5.75,Nitzschia tubicola,0,400,0
5.75,Cocconeis scutellum,0,400,0
5.75,Navicula hanseatica,12,400,3
5.75,Navicula meniscus,10,400,2.5
5.75,Navicula peregrina,7,400,1.7500000000000002
5.75,Pinnunavis elegans,3,400,0.75
5.75,Diploneeis smithii,0,400,0
5.75,Navicula gregaria,4,400,1
5.75,Planothidium delicathulum,0,400,0
5.75,Stephanocyclus meneghinianus,6,400,1.5
5.75,Ctenophora pulchella,8,400,2
5.75,Diatoma moniloformis,2,400,0.5
5.75,Navicula radiosa,1,400,0.25
5.75,Nitzschia incospicua,2,400,0.5
5.75,Pseudostaurosira elliptica,91,400,22.75
5.75,Diatoma tenuis,0,400,0
5.75,Pseudostaurosira brevistriata,5,400,1.25
5.75,Nitzschia palea,8,400,2
5.75,Pinnularia borealis,12,400,3
5.75,Achnanthidium lineare,0,400,0
5.75,Achnanthidium minutissimum,12,400,3
5.75,Achnanthidium petersenii,14,400,3.5000000000000004
5.75,Brachysira serians,0,400,0
5.75,Cocconeis placentula,0,400,0
5.75,Encyonema neogracile,0,400,0
5.75,Fragilaria exigua,7,400,1.7500000000000002
