Working_Unit,Age,ROC,ROC_up,ROC_dw,Peak
-69--39,-54,0.2086856373488835,0.25076871308192206,0.06754074014676174,FALSE
-63--33,-48,0.19426932094700627,0.24003020221894236,0.07972104788032247,FALSE
-57--27,-42,0.17298476244666272,0.24003020221894236,0.05396050601438516,FALSE
-51--21,-36,0.12083264891012546,0.23775479725375104,0.05396050601438516,FALSE
-45--15,-30,0.09814489217083827,0.17298476244666272,0.05396050601438516,FALSE
-39--9,-24,0.07247380991950235,0.10073629083387785,0.043358606654007675,FALSE
-33--3,-18,0.043358606654007675,0.07247380991950235,0.043358606654007675,FALSE
-27-3,-12,0.10077230093920322,0.10077230093920322,0.043358606654007675,FALSE
-21-9,-6,0.10077230093920322,0.10077230093920322,0.08961122542333035,FALSE
-15-15,0,0.10077230093920322,0.10077230093920322,0.08961122542333035,FALSE
-9-21,6,0.08961122542333035,0.11995099215182042,0.08961122542333035,FALSE
-3-27,12,0.08961122542333035,0.11995099215182042,0.08961122542333035,FALSE
3-33,18,0.05719261938458892,0.11995099215182042,0.05719261938458892,FALSE
9-39,24,0.05719261938458892,0.05719261938458892,0.05719261938458892,FALSE
15-45,30,0.09603295950646591,0.1161433721107875,0.05719261938458892,FALSE
21-51,36,0.10216722642870761,0.1386163930038719,0.06240395872763627,FALSE
27-57,42,0.1161433721107875,0.16120851571236017,0.06240395872763627,FALSE
33-63,48,0.10216722642870761,0.1695624194510131,0.06240395872763627,FALSE
39-69,54,0.12749521736555977,0.1882243919130665,0.06240395872763627,FALSE
45-75,60,0.16652246501993678,0.20842881016165446,0.08399741676039721,FALSE
51-81,66,0.16610909859322598,0.24260091656244132,0.062404162843022214,FALSE
57-87,72,0.16119131493506747,0.24260091656244132,0.07466133305772564,FALSE
63-93,78,0.13847315047021536,0.24260091656244132,0.05465312752494655,FALSE
69-99,84,0.13847315047021536,0.24260091656244132,0.046483250998759475,FALSE
75-105,90,0.10018511963323438,0.1679487568634441,0.06216415021898567,FALSE
81-111,96,0.0989683065451733,0.13926935344907948,0.059064688794828075,FALSE
87-117,102,0.10909277452971361,0.15717791316116464,0.059064688794828075,FALSE
93-123,108,0.15525206463003532,0.18851621355539436,0.059064688794828075,FALSE
99-129,114,0.15525206463003532,0.2364863288378098,0.04832219321145039,FALSE
105-135,120,0.18350012745591482,0.2869852274508471,0.04832219321145039,FALSE
111-141,126,0.2002113599973944,0.40346103147231405,0.04832219321145039,FALSE
117-147,132,0.2658038991441025,0.4408954940677181,0.043469243420350814,FALSE
123-153,138,0.31268251260349283,0.49697686700395255,0.0923249915666526,TRUE
129-159,144,0.3302146253058167,0.5023148760553012,0.06958295892570383,TRUE
135-165,150,0.3210179804717615,0.5023148760553012,0.1269848921980711,TRUE
141-171,156,0.31983293881388425,0.5023148760553012,0.061852271565670976,TRUE
147-177,162,0.20548574465824254,0.4229482065895974,0.07240428693739966,FALSE
153-183,168,0.17593250378245393,0.35193807955217915,0.053829060165660365,FALSE
159-189,174,0.14460628341755744,0.28527905969265704,0.056460483902340944,FALSE
165-195,180,0.1486423366361024,0.19843869641540138,0.04402413803194388,FALSE
171-201,186,0.14347296911995439,0.2226940033937505,0.03088482798768026,FALSE
177-207,192,0.15666371940253127,0.24886408513277541,0.03088482798768026,FALSE
183-213,198,0.15456951424503262,0.24886408513277541,0.06447636877736523,FALSE
189-219,204,0.15666371940253127,0.2522380380189483,0.06918066264072184,FALSE
195-225,210,0.15456951424503262,0.23430564884587837,0.055605693666421596,FALSE
201-231,216,0.13249306028012173,0.23430564884587837,0.03867753051423058,FALSE
207-237,222,0.13249306028012173,0.23430564884587837,0.05628216876525253,FALSE
213-243,228,0.13249306028012173,0.17516713886104127,0.05628216876525253,FALSE
